ID,Start_time,End_time,English,Español,Dominant_Hand,Non_Dominant_Hand
41,58776,59718,A goat runs,buscan por allí,cl.e(2d):PERSONA-desplazarse ACABAR(1M),0 0
42,59718,61341,and the boy clings to the goat,Aparece una cabra trotando,UNO CABRA2 cl.c(2d):PATAS-desplazarse,0 CABRA2 cl.c(2d):PATAS-desplazarse
43,61341,63143,The boy was scared when seizing the goat,y el niño se agarra a la cabra,HOMBRE2 cl.c(2d):PATAS-desplazarse CABRA2 cl.m(5&amp;gt;A):coger-persona,0 cl.c(2d):PATAS-desplazarse 0 cl.m(5&amp;gt;A):coger-persona
44,63143,64375,They run,el niño iba asustado agarrado por la cabra,HOMBRE2 cl.e(2d):CABRA-bajo-persona,0 cl.e(2d):CABRA-bajo-persona
45,64375,64830,(There is a) river,van corriendo,cl.e(2d):CABRA-correr-suelo,cl.e(Bh):SUELO
46,64830,65718,They slow down,(hay un) río,CAMINO INDX,CAMINO 0
47,65718,66085,The goat nods,frenan,cl.e:CABRA-chocar-suelo,cl.e:SUELO
48,66085,66799,The boy and the dog fall,la cabra cabecea,MENTE cl.c(1I):CABEZA-levantarse,0 0
49,66799,68968,and swim,El niño y el perro caen,HOMBRE2 PERRO DOS cl.e(2):PERSONA+PERRO-caer+de-suelo,0 0 0 cl.e(Bh):SUELO
50,68968,70385,(The dog) is drowning,(el niño) nada,NADAR,NADAR
51,70385,71436,they swim,(el perro) se está ahogando,AGOBIAR,0
52,71436,72130,The boy saves the dog:,(el niño va) nadando con el perro,NADAR,NADAR
53,72130,73749,and he helps it out,(hasta que) el niño saca al perro,HOMBRE2 cl.m(A):agarrar-perro,0 cl.m(A):agarrar-perro
54,73749,76254,they leave,El perro se acerca nadando,PERRO cl.c(B):patas-desplazarse NADAR,0 cl.c(B):patas-desplazarse NADAR
55,76254,77716,They jump,y él lo saca,cl.m(A):agarrar-perro DEJAR(1M),cl.m(A):agarrar-perro B:cl.m(A):agarrar-perro
56,77716,81581,and leave.,Una serpiente se acerca a ellos,UNO SERPIENTE(H) cl.e(1):SERPIENTE-aproximarse-localización cl.c(5d):patas-desplazarse cl.e(2):SERPIENTE-aproximarse-localización,0 0 cl.e(Bh):LOCALIZACIÓN cl.c(5d):patas-desplazarse cl.e(Bh):LOCALIZACIÓN
57,81581,82134,and (the story) ends.,Se van,cl.e(2d):ENTIDAD-desplazarse,cl.e(2d):ENTIDAD-desplazarse
