ID,Start_time,End_time,English,Español,Dominant_Hand,Non_Dominant_Hand
28,51617,52813,He is spellbound and looks back,Él iba embobado mirando hacia atrás,INDX cl.m(A):agarrar-manillar,0 cl.m(A):agarrar-manillar
29,52813,53559,(and) his hat falls to the floor,(y) se le cae el sombrero,SOMBRERO(Xc)(1M) cl:sombrero-caer,0 0
30,53559,54084,He is spellbound and looks back,iba embobado mirando hacia atrás,cl.m(A):agarrar-manillar,cl.m(A):agarrar-manillar
31,54084,55915,and hits a stone,chocó con una piedra,PIEDRA cl.e(B):BICICLETA-chocar-piedra,PIEDRA cl.e(B):PIEDRA
32,55915,57123,(and) falls.,(y) cayó.,cl.e(B):BICICLETA-caer,0
33,57399,58789,(and the pears) get scattered on the floor,(Las peras) se desparramaron.,cl.d(5):peras-esparcirse,cl.d(5):peras-esparcirse
34,58789,61405,Three children happen to pass by,Casualmente había allí tres niños,CASUAL HOMBRE TRES INDX.LOC HABER,0 0 0 0 0
35,61471,62055,who saw (what had happened),(que) lo vieron,VER,0
36,62055,63968,(and decided) to help,(y decidieron) ayudarle,B:VER AYUDAR,0 AYUDAR
37,63968,64935,They helped him.,le ayudaron.,AYUDAR,AYUDAR
38,64935,68508,They put the pears (in the basket),echan las peras (en el cesto),ARROJAR(2Msu) PERA3(L-MEJ) ARROJAR(2Msu),ARROJAR(2Msu) 0 0
39,68508,69018,They have just [filled the basket,acaban [de llenar el cesto],ACABAR(1M),0
40,69156,71371,place it [on the bike],colocan la cesta.,INDX cl.m(5d):colocar-cesta,0 cl.m(5d):colocar-cesta
41,71480,73796,The boy gives one of the children,El niño le regala a uno de los niños,HOMBRE REGALAR HOMBRE PERSONA- UNO,0 REGALAR 0 0 0
42,73796,75012,two pears,le regala dos peras,REGALAR PERA3(L-MEJ) DOS,REGALAR 0
43,75023,76172,He gives him two pears,le da las dos peras,cl.e:peras-dos-dar,0
44,76380,76946,(and leaves),(se va),G:irse,0
45,76946,77927,The child [on the bicycle] also leaves,el niño [de la bicicleta] se marcha,HOMBRE ALEJARSE,0 0
46,77938,78494,(The child) [with the two pears also] leaves,(el niño) [de las dos peras] se marcha,MARCHAR,MARCHAR
47,78494,79051,That’s it,y nada más,ACABAR,ACABAR
48,79051,79918,(Ah) the child [gives him] two pears ,(Ah) El niño [le da] dos peras ,INDX PERA3 DOS,0 0 0
49,79918,81620,because he picked up the hat,porque cogió el sombrero,MOTIVO SOMBRERO(Xc) COGER,0 SOMBRERO(Xc) 0
50,81620,82432,and gave it to him.,(y) se lo dio.,DAR,0
51,82432,82770,He realizes,Se da cuenta,MENTE,0
52,82773,84738,the child thinks,el niño lo piensa,HOMBRE G HOMBRE B:HOMBRE,0 0 0 0
53,84791,86598,they helped me to gather [the pears] that’s it,antes me ayudaron a coger [las peras] y nada,PASADO AYUDAR COGER(2Msu) NADA,0 AYUDAR COGER(2Msu) NADA
54,86648,88118,They then gave me the hat,después me dieron el sombrero,DESPUÉS SOMBRERO(Xc)(1M) DAR(2M),0 0 DAR(2M)
55,88122,88905,He gives them (two pears),les da (las peras),DAR,0
56,88920,90802,He gives them two pears because of the hat.,les regala las peras por lo de el sombrero.,REGALAR PERA3(L-MEJ) MOTIVO SOMBRERO(Xc)(1M),REGALAR 0 0 0
57,90999,92149,And then...,Entonces...,ESPERAR2,0
58,92184,93482,and the story ends.,se acaba.,FIN,FIN
59,93499,94841,The child escapes,El niño escapa,HOMBRE ESCAPAR,0 0
60,94841,96609,The child on the bicycle leaves,El niño de la bicicleta se va,MARCHAR2- HOMBRE BICICLETA MARCHAR2,MARCHAR2- 0 BICICLETA MARCHAR2
61,96703,98758,The three [children] pass ,Los tres [niños] pasan,TRES cl.e(3):PERSONAS3-desplazarse,0 0
62,98786,100335,the man plucking the pears,El hombre cogiendo peras,HOMBRE PERA3(L-MEJ) cl.m(5d):coger-peras,0 0 cl.m(5d):coger-peras
63,100335,100968,who continued (plucking),continuaba,CONTINUAR,CONTINUAR
64,100968,102128,Climbs down from the top [of the tree],baja de la cima [del árbol],cl.e(2b):PERSONA-localización cl.e(1):TRAIECTORIA-descender G,0 0 0
65,102184,103300,and waits there.,(y) allí (está) esperando.,INDX.LOC ESPERAR,0 ESPERAR
66,103355,105996,The three pass by.,Los tres pasan.,TRES cl.e(3):PERSONAS3-desplazarse,0 0
67,106078,108084,(but) before that the man had noticed,(Pero) antes el hombre vio,ANTES(1M) HOMBRE VER(2M),0 0 VER(2M)
68,108084,110885,that there were three baskets of pears there,(que) ahí había tres cestas de peras,INDX.LOC CESTO PERA3(L-MEJ) TRES,0 CESTO B:CESTO B:CESTO
69,110902,113181,(There are only) two now...,(y ahora hay) dos.,B:TRES DOS B.L(2) B.L(2),0 0 INDX:uno INDX:dos
70,113216,114244,And they were full,(Están) llenos,DENTRO- LLENO,DENTRO- LLENO
71,114244,115189,One is missing,falta uno,UNO VACÍO,0 VACÍO
72,115189,116178,One was missing (where could it be?),le faltaba otro (dónde estaría),NECESITAR OTRO G:interrogativo,0 0 0
73,116206,118624,(He stayed there) concerned (and thinking).,(se quedó allí) preocupado (pensando),G:expresión-hombre PROBLEMA,0 PROBLEMA
74,118624,119940,(and the story) ends.,(y) se acaba.,ACABAR,ACABAR
