ID,Start_time,End_time,English,Español,Dominant_Hand,Non_Dominant_Hand
30,47978,50422,After that I returned [to school in Lugo],Después volvía allá [colegio de Lugo],DESPUÉS(B) VOLVER INDX.AUX,0 VOLVER 0
31,50458,51270,I had the same teacher,tenía el mismo profesor,PROFESOR MISMO(2M),0 MISMO(2M)
32,51270,51855,It was a pleasure,era una gozada,DISFRUTAR,DISFRUTAR
33,51855,52839,Wonderful...,maravilloso...,MARAVILLA SUSTANCIA(1M) G:emoción,B:DISFRUTAR B:DISFRUTAR B:DISFRUTAR
34,52839,53404,just wonderful.,simplemente maravilloso.,MARAVILLA ES.ASÍ(1M),B:DISFRUTAR B:DISFRUTAR
35,53423,54081,He explained (things) to me,Me explicaba [algo],EXPLICAR,EXPLICAR
36,54081,56117,(And) I understood him (very) well.,(y) yo lo endendía (muy) claro.,INDX.PRO(B):1sg ENTENDER CLARO,0 0 CLARO
37,56150,57869,(And) time passed on like that,(Y así) pasó el tiempo,DESPUÉS- TRANSCURRIR,0 TRANSCURRIR
38,57879,60728,Until I finished school.,hasta que acabé el colegio.,HASTA COLEGIO FIN,HASTA 0 FIN
39,60728,62245,I returned back to the village,Volví al pueblo,IR2 PUEBLO,0 0
40,62245,63655,(And) I ...,(y) estaba...,INDX.PRO:1sg G,0 G
41,63655,65960,I did not feel comfortable,yo no no me sentía a gusto,INDX.PRO:1sg NO ENCANTADO NO G,B:G B:G B:G B:G G
42,65982,66389,I then thought about,Se me ocurrió,MENTE,B:G
43,66389,67364,asking my parents,pedirle a mis padres,PEDIR PADRE^MADRE,PEDIR B:PEDIR
44,67395,68235,(And) they told me I was free to choose,(y) me dieron libertad,LIBRE,LIBRE
45,68235,70153,(So) I went to Vigo.,(entonces) me fui a Vigo.,INDX.PRO:1sg IR2 VIGO,0 0 0
46,70695,72169,I looked for a job,Busqué trabajo,INDX.PRO:1sg BUSCAR(2Msu) TRABAJAR,0 BUSCAR(2Msu) TRABAJAR
47,72169,73705,And I found one,encontré empleo,ENCONTRAR FUNCIONARIO,ENCONTRAR 0
48,73714,75539,In a monastery of nuns.,en un monasterio de monjas.,ES.ASÍ MONJA DENTRO,ES.ASÍ MONJA DENTRO
49,75805,76912,And as time passed ,Pasó el tiempo,TRANSCURRIR,TRANSCURRIR
50,76912,78432,I got married,me casé,DESPUÉS(B) CASAR,0 CASAR
51,78488,81520,And then had children,después tuve hijos,DESPUÉS(B) NACER(2Msu),0 NACER(2Msu)
52,81520,83029,(and) now I am happy great,(y) ahora soy feliz bien,AHORA FELIZ BIEN,0 FELIZ 0
53,83059,84458,Life is good.,me va muy bien.,MARCHAR BIEN G,MARCHAR 0 G
54,84458,85445,That is all.,Nada más.,ACABAR,ACABAR
55,85445,86071,(It was) short.,(Fue) corto.,CORTO,CORTO
56,89098,91258,Something brief...,Algo escueta,SEGMENTAR ALGO,SEGMENTAR 0
